symbol,date,news_count,rolling_3_sentiment,rolling_7_sentiment,return_1d,return_3d,return_7d,direction
NTPC,2024-05-24 07:00:00,2,0.3333333333333333,-0.1428571428571428,-0.014135138446406903,-0.01123443201549812,0.022969448485181454,DOWN
NTPC,2024-10-24 07:00:00,3,-1.0,-0.4285714285714285,-0.031561117872388356,-0.04052920500987345,-0.059752539624429835,UP
NTPC,2024-11-26 08:00:00,2,0.6666666666666666,0.0,0.021153103376038374,0.010535074647235687,-0.008590543283855334,DOWN
NTPC,2025-01-24 08:00:00,2,0.0,0.2857142857142857,-0.004480089045829638,-0.000620281794949662,-0.010138194949755652,DOWN
NTPC,2025-01-25 08:00:00,9,0.1481481481481481,0.0634920634920634,-0.004480089045829638,-0.000620281794949662,-0.010138194949755652,DOWN
NTPC,2025-01-27 08:00:00,5,-0.1185185185185185,0.2349206349206349,-0.012259516115047275,-0.01668468143702273,-0.02422189234828509,UP
NTPC,2025-05-21 07:00:00,7,-0.2380952380952381,0.183673469387755,-0.013722293784405815,-0.01086471098420383,-0.00029268406328397667,UP
NTPC,2025-05-24 07:00:00,10,-0.7142857142857144,-0.0204081632653061,-0.0031921978717287525,-0.007655690731920517,0.0045327852904870625,DOWN
NTPC,2025-06-05 07:00:00,3,-0.1111111111111111,-0.4047619047619047,0.01277965868109554,0.014013797757513657,-0.021173243170822587,UP
NTPC,2025-06-24 07:00:00,2,0.3333333333333332,0.5238095238095238,0.0027276948315817506,-0.012977352895113259,-0.008540648146097007,UP
NTPC,2025-07-23 07:00:00,2,0.3333333333333332,0.4285714285714285,-0.012097396408664474,-0.007758797623434344,-0.009064427776513395,DOWN
NTPC,2025-07-28 07:00:00,5,0.1333333333333332,0.0571428571428571,0.004955699096295341,-0.012687975961998332,-0.02192342253008639,UP
NTPC,2025-07-29 07:00:00,15,-0.5555555555555557,-0.0952380952380952,0.012552216259166915,0.016806672130951883,-0.008051530529052386,DOWN
NTPC,2025-07-30 07:00:00,2,-0.688888888888889,-0.3809523809523809,-0.013429677664622885,0.0039044816446180963,-0.01936326652140874,DOWN
