symbol,date,sentiment_mean,sentiment_std,positive_ratio,negative_ratio,news_count,rolling_3_sentiment,rolling_7_sentiment
TATACONSUM,2025-12-30 08:00:00,1.0,0.0,1.0,0.0,2,0.3333333333333333,0.17142857142857143
TATACONSUM,2026-01-06 08:00:00,1.0,0.0,1.0,0.0,2,0.3333333333333333,0.2857142857142857
TATACONSUM,2026-01-07 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.0,0.2857142857142857
TATACONSUM,2026-01-27 08:00:00,-0.4,0.932183199398798,0.3,0.7,30,-0.7999999999999999,-0.05714285714285715
TATACONSUM,2026-01-28 08:00:00,-0.45454545454545453,0.9341987329938276,0.2727272727272727,0.7272727272727273,11,-0.6181818181818182,-0.5506493506493506
TATACONSUM,2026-01-30 08:00:00,1.0,0.0,1.0,0.0,2,-0.15151515151515152,-0.2649350649350649
TATACONSUM,2026-02-19 08:00:00,-1.0,0.0,0.0,1.0,2,-0.3333333333333333,-0.06493506493506493
TATASTEEL,2025-07-29 07:00:00,-0.3333333333333333,1.1547005383792517,0.3333333333333333,0.6666666666666666,3,0.5555555555555556,0.5238095238095238
TATASTEEL,2025-07-30 07:00:00,-0.8181818181818182,0.6030226891555273,0.09090909090909091,0.9090909090909091,11,-0.05050505050505053,0.5497835497835498
TATASTEEL,2025-07-31 07:00:00,-1.0,0.0,0.0,1.0,3,-0.27272727272727276,0.26406926406926406
TATASTEEL,2025-09-03 07:00:00,0.0,1.4142135623730951,0.5,0.5,2,-0.6666666666666666,-0.5714285714285714
TATASTEEL,2025-09-08 07:00:00,0.0,1.1547005383792515,0.5,0.5,4,-0.6666666666666666,-0.7142857142857143
TATASTEEL,2025-10-03 07:00:00,-1.0,0.0,0.0,1.0,2,-0.3333333333333333,-0.5714285714285714
TATASTEEL,2025-10-09 07:00:00,-0.2,1.0954451150103321,0.4,0.6,5,-0.06666666666666667,-0.31428571428571433
TATASTEEL,2025-10-28 07:00:00,-0.3333333333333333,1.0327955589886446,0.3333333333333333,0.6666666666666666,6,-0.5111111111111111,-0.5047619047619047
TATASTEEL,2025-11-05 08:00:00,1.0,0.0,1.0,0.0,2,0.3333333333333333,-0.21904761904761902
TATASTEEL,2025-11-06 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.6666666666666666,-0.07619047619047617
TATASTEEL,2025-11-11 08:00:00,0.3333333333333333,1.1547005383792517,0.6666666666666666,0.3333333333333333,3,-0.22222222222222224,7.93016446160826e-18
TATASTEEL,2025-11-12 08:00:00,-0.3333333333333333,0.9660917830792959,0.3333333333333333,0.6666666666666666,21,-0.3333333333333333,7.93016446160826e-18
TATASTEEL,2025-11-13 08:00:00,-0.25,0.9999999999999999,0.375,0.625,16,-0.5277777777777778,-0.17857142857142858
TATASTEEL,2025-11-14 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,-0.4166666666666667,-0.4642857142857143
TATASTEEL,2025-11-16 08:00:00,-1.0,0.0,0.0,1.0,2,-0.6666666666666666,-0.4642857142857143
TATASTEEL,2025-11-20 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,-0.6666666666666666,-0.6071428571428571
TATASTEEL,2025-12-02 08:00:00,1.0,0.0,1.0,0.0,2,0.0,-0.32142857142857145
TATASTEEL,2025-12-11 08:00:00,0.0,1.1547005383792515,0.5,0.5,4,0.0,-0.14285714285714285
TATASTEEL,2025-12-12 08:00:00,-0.3333333333333333,1.1547005383792517,0.3333333333333333,0.6666666666666666,3,0.22222222222222224,0.09523809523809525
TATASTEEL,2025-12-26 08:00:00,1.0,0.0,1.0,0.0,2,1.0,-0.04761904761904761
TATASTEEL,2025-12-31 08:00:00,-1.0,0.0,0.0,1.0,3,0.3333333333333333,0.14285714285714285
TATASTEEL,2026-01-01 08:00:00,0.0,1.1547005383792515,0.5,0.5,4,0.0,0.2857142857142857
TATASTEEL,2026-01-06 08:00:00,1.0,0.0,1.0,0.0,2,0.3333333333333333,-0.2857142857142857
TATASTEEL,2026-01-07 08:00:00,0.6,0.894427190999916,0.8,0.2,5,0.19999999999999998,-0.05714285714285715
TATASTEEL,2026-01-08 08:00:00,-0.2,1.0954451150103321,0.4,0.6,5,0.46666666666666673,-0.08571428571428573
TATASTEEL,2026-01-11 08:00:00,1.0,0.0,1.0,0.0,2,0.46666666666666673,0.19999999999999998
